artist,single,released,sales
Kelly Clarkson,Stronger (What Doesn't Kill You),2012,5
Greeeen,Haruka,2009,5
Green Day,Boulevard of Broken Dreams,2004,5
Enrique Iglesias featuring Pitbull,I Like It,2010,5
Michael Learns to Rock,Take Me to Your Heart,2006,5
Katy Perry,Last Friday Night (T.G.I.F.),2011,5
Pink,Raise Your Glass,2010,5
Shakira featuring Dizzee Rascal,Loca,2010,5
Shakira featuring Alejandro Sanz,La Tortura,2005,5
Justin Timberlake,Mirrors,2013,5
